Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
292,G1T1701_BR251,G1T1701_BR_234_M,250.93,250929.17,5.40
293,G1T1701_BR043,G1T1701_BR_074_M,253.60,253598.32,5.40
294,G1T1701_BR246,G1T1701_BR_229_MP,259.47,259466.33,5.41
295,G1T1701_BR452,G1T1701_BR_428_MP,282.71,282709.51,5.45
296,G1T1701_BR290,G1T1701_BR_273_MP,284.67,284667.66,5.45
297,G1T1701_BR397,G1T1701_BR_375_MP,285.37,285366.64,5.46
298,G1T1701_BR479,G1T1701_BR_455_GMP,291.96,291962.84,5.47
299,G1T1701_BR457,G1T1701_BR_433_MP,291.97,291974.48,5.47
300,G1T1701_BR430,G1T1701_BR_408_GMP,299.34,299341.18,5.48
301,G1T1701_BR413,G1T1701_BR_391_MP,306.59,306590.56,5.49
302,G1T1701_BR145,G1T1701_BR_127_MP,309.09,309086.44,5.49
303,G1T1701_BR274,G1T1701_BR_257_MP,319.76,319762.78,5.50
304,G1T1701_BR271,G1T1701_BR_254_MP,322.24,322235.97,5.51
305,G1T1701_BR193,G1T1701_BR_176_M,333.53,333531.51,5.52
306,G1T1701_BR298,G1T1701_BR_281_MP,335.62,335624.72,5.53
307,G1T1701_BR128,G1T1701_BR_116_MP,337.52,337517.67,5.53
308,G1T1701_BR085,G1T1701_BR_081_MP,346.56,346557.32,5.54
309,G1T1701_BR111,G1T1701_BR_097_MP,346.82,346822.91,5.54
310,G1T1701_BR174,G1T1701_BR_154_M,356.21,356205.18,5.55
311,G1T1701_BR466,G1T1701_BR_442_MP,356.70,356704.92,5.55
312,G1T1701_BR118,G1T1701_BR_108_MP,361.16,361159.23,5.56
313,G1T1701_BR456,G1T1701_BR_432_MP,373.45,373448.86,5.57
314,G1T1701_BR299,G1T1701_BR_282_MP,381.34,381335.13,5.58
315,G1T1701_BR469,G1T1701_BR_445_MP,384.98,384977.66,5.59
316,G1T1701_BR464,G1T1701_BR_440_MP,398.03,398029.38,5.60
317,G1T1701_BR322,not in dart analysis,404.03,404034.93,5.61
318,G1T1701_BR059,G1T1701_BR_057_GP,416.90,416901.39,5.62
319,G1T1701_BR257,G1T1701_BR_240_MP,419.24,419239.79,5.62
320,G1T1701_BR314,not in dart analysis,445.39,445388.63,5.65
321,G1T1701_BR369,G1T1701_BR_348_MP,449.12,449124.23,5.65
322,G1T1701_BR317,G1T1701_BR_300_MP,460.61,460609.32,5.66
323,G1T1701_BR378,G1T1701_BR_357_MP,468.56,468563.51,5.67
324,G1T1701_BR060,G1T1701_BR_058_P,492.32,492322.57,5.69
325,G1T1701_BR451,G1T1701_BR_427_MP,504.34,504335.81,5.70
326,G1T1701_BR445,G1T1701_BR_422_MP,518.93,518933.10,5.72
327,G1T1701_BR355,G1T1701_BR_338_MP,545.49,545493.43,5.74
328,G1T1701_BR184,G1T1701_BR_167_MP,565.43,565428.57,5.75
329,G1T1701_BR092,G1T1701_BR_088_MP,583.32,583315.01,5.77
330,G1T1701_BR280,G1T1701_BR_263_MP,592.88,592882.67,5.77
331,G1T1701_BR411,G1T1701_BR_389_MP,603.97,603969.24,5.78
332,G1T1701_BR471,G1T1701_BR_447_MP,604.56,604558.44,5.78
333,G1T1701_BR229,G1T1701_BR_212_MP,612.34,612339.17,5.79
334,G1T1701_BR376,G1T1701_BR_355_MP,629.34,629344.76,5.80
335,G1T1701_BR112,G1T1701_BR_098_MP,634.48,634477.96,5.80
336,G1T1701_BR472,G1T1701_BR_448_MP,636.29,636294.19,5.80
337,G1T1701_BR253,G1T1701_BR_236_MP,646.25,646252.84,5.81
338,G1T1701_BR254,G1T1701_BR_237_MP,656.65,656647.34,5.82
339,G1T1701_BR393,G1T1701_BR_371_MP,680.86,680856.00,5.83
340,G1T1701_BR144,G1T1701_BR_126_MP,686.17,686173.74,5.84
341,G1T1701_BR161,G1T1701_BR_141_MP,714.51,714512.84,5.85
342,G1T1701_BR114,G1T1701_BR_100_MP,726.36,726364.33,5.86
343,G1T1701_BR061,G1T1701_BR_050_GP,738.73,738730.89,5.87
344,G1T1701_BR380,G1T1701_BR_359_MP,741.46,741464.43,5.87
345,G1T1701_BR458,G1T1701_BR_434_MP,742.81,742809.37,5.87
346,G1T1701_BR356,G1T1701_BR_339_MP,746.41,746413.80,5.87
347,G1T1701_BR039,G1T1701_BR_106_M,752.91,752913.51,5.88
348,G1T1701_BR465,G1T1701_BR_441_MP,761.81,761811.22,5.88
349,G1T1701_BR328,G1T1701_BR_311_MP,828.21,828206.26,5.92
350,G1T1701_BR454,G1T1701_BR_430_MP,842.69,842693.80,5.93
351,G1T1701_BR361,G1T1701_BR_459,871.93,871927.44,5.94
352,G1T1701_BR470,G1T1701_BR_446_MP,895.40,895404.59,5.95
353,G1T1701_BR153,G1T1701_BR_134_MP,923.13,923130.20,5.97
354,G1T1701BR_459,not in dart analysis,939.86,939858.05,5.97
