Cohort,AnimalID,Class,GAV,Code,Type,FamilyID,IntFamID
201604,136_001_A1_G,Offspring,6.45,136,pond,B2_007,5
201604,135_001_B4_G,Offspring,6.65,135,pond,B2_007,5
201604,136_001_B8_G,Offspring,6.96,136,pond,B2_007,5
201604,135_001_A10_G,Offspring,ND,135,pond,B2_007,5
201604,136_001_E2_G,Offspring,ND,136,pond,B2_007,5
201604,136_001_F1_G,Offspring,ND,136,pond,B2_007,5
201604,136_001_H10_G,Offspring,ND,136,pond,B2_007,5
201602,141_001_F11_G,Offspring,3.08,141,pond,B3_011,6
201602,141_001_A2_G,Offspring,3.11,141,pond,B3_011,6
201602,141_001_C12_G,Offspring,3.15,141,pond,B3_011,6
201602,142_001_B10_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_B12_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_C10_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_D10_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_D12_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_D4_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_D6_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_E12_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_E3_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_E4_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_E7_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_F2_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_F3_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_F4_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_G5_G,Offspring,NA,142,pond,B3_011,6
201602,142_001_H9_G,Offspring,NA,142,pond,B3_011,6
201602,141_001_A3_G,Offspring,ND,141,pond,B3_011,6
201602,141_001_C1_G,Offspring,ND,141,pond,B3_011,6
201602,141_001_E6_G,Offspring,ND,141,pond,B3_011,6
201602,141_001_G10_G,Offspring,ND,141,pond,B3_011,6
201602,141_001_H7_G,Offspring,2.99,141,pond,B3_020,7
201602,141_001_E11_G,Offspring,3.1,141,pond,B3_020,7
201602,141_001_E2_G,Offspring,3.16,141,pond,B3_020,7
201602,142_001_A3_G,Offspring,NA,142,pond,B3_020,7
201602,142_001_D2_G,Offspring,NA,142,pond,B3_020,7
201602,142_001_E10_G,Offspring,NA,142,pond,B3_020,7
201602,142_001_F1_G,Offspring,NA,142,pond,B3_020,7
201602,142_001_F5_G,Offspring,NA,142,pond,B3_020,7
201602,142_001_G7_G,Offspring,NA,142,pond,B3_020,7
201602,142_011_H11_G,Offspring,NA,142,pond,B3_020,7
201602,141_001_C4_G,Offspring,ND,141,pond,B3_020,7
201602,141_001_C6_G,Offspring,ND,141,pond,B3_020,7
201602,141_001_D1_G,Offspring,ND,141,pond,B3_020,7
201602,141_001_D8_G,Offspring,ND,141,pond,B3_020,7
201602,141_001_E9_G,Offspring,ND,141,pond,B3_020,7
201602,141_001_G9_G,Offspring,ND,141,pond,B3_020,7
201602,141_001_H10_G,Offspring,ND,141,pond,B3_020,7
201604,136_001_A4_G,Offspring,3.69,136,pond,B2_017,8
201604,135_001_C6_G,Offspring,3.8,135,pond,B2_017,8
201604,135_001_A4_G,Offspring,4.33,135,pond,B2_017,8
201604,136_001_C6_G,Offspring,4.7,136,pond,B2_017,8
201604,135_001_G2_G,Offspring,5.12,135,pond,B2_017,8
201604,136_001_G3_G,Offspring,5.36,136,pond,B2_017,8
201604,135_001_F7_G,Offspring,6.23,135,pond,B2_017,8
201604,136_001_A11_G,Offspring,6.98,136,pond,B2_017,8
201604,135_001_F2_G,Offspring,7.21,135,pond,B2_017,8
201604,135_001_B3_G,Offspring,ND,135,pond,B2_017,8
201604,136_001_H3_G,Offspring,ND,136,pond,B2_017,8
201602,141_001_D11_G,Offspring,3.09,141,pond,B3_013,9
201602,141_001_A8_G,Offspring,3.14,141,pond,B3_013,9
201602,141_001_G11_G,Offspring,3.14,141,pond,B3_013,9
201602,142_001_A10_G,Offspring,NA,142,pond,B3_013,9
201602,142_001_C8_G,Offspring,NA,142,pond,B3_013,9
201602,142_001_E6_G,Offspring,NA,142,pond,B3_013,9
201602,142_001_G3_G,Offspring,NA,142,pond,B3_013,9
201602,141_001_A10_G,Offspring,ND,141,pond,B3_013,9
201602,141_001_B3_G,Offspring,ND,141,pond,B3_013,9
201602,141_001_C5_G,Offspring,ND,141,pond,B3_013,9
201604,136_001_D4_G,Offspring,3.19,136,pond,B2_013,10
201604,136_001_H8_G,Offspring,3.48,136,pond,B2_013,10
