PrawnID,GAV,Class,Family ID,,,Family,,Offspring count
G1T1701_149_002_F8_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_F9_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_002_G3_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_002_G4_G,0.00,Offspring,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,,,,
G1T1701_149_002_H5_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_A12_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,
G1T1701_149_003_A2_G,0.00,Offspring,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,
G1T1701_149_003_A3_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_003_A5_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,
G1T1701_149_003_A7_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_003_A9_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_B1_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_003_B11_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_B3_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_024_P,,,,,
G1T1701_149_003_B7_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_003_C10_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_C11_G,0.00,Offspring,G1T1701_BR_064_P__G1T1701_BR_031_P,,,,,
G1T1701_149_003_C12_G,0.00,Offspring,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,
G1T1701_149_003_C2_G,0.00,Offspring,G1T1701_BR_123_MP__G1T1701_BR_251_MP,,,,,
G1T1701_149_003_C3_G,0.00,Offspring,G1T1701_BR_119_MP__G1T1701_BR_015_P,,,,,
G1T1701_149_003_C5_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_C9_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_D10_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_D11_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_003_D2_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_D3_G,0.00,Offspring,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,
G1T1701_149_003_D5_G,0.00,Offspring,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,
G1T1701_149_003_D6_G,0.00,Offspring,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,
G1T1701_149_003_D8_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_003_D9_G,0.00,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,
G1T1701_149_003_E10_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
